31,0,376,70,113,242,,
32,0,378,69,105,239,,
33,0,378,67,102,239,,
34,5.1,379,60,98,248,,640*363
35,3.7,378,63,99,246,,
36,3.7,378,61,97,246,,
37,3.7,379,62,96,244,,
38,3.7,378,62,95,243,,
39,3.7,378,55,96,252,,
40,3.7,378,59,95,247,,
112,4.7,371,47,128,290,,
113,4.8,371,42,130,282,,
114,5.1,379,51,108,256,,
115,5.1,382,54,101,250,,
116,5.1,380,50,103,256,,
117,5.1,382,48,101,260,,
118,5.1,386,60,97,248,,
119,5.1,385,56,101,257,,
120,5.1,385,54,101,261,,
121,5.1,386,52,103,264,,
122,5.1,387,55,103,261,,
123,5.1,390,60,101,255,,
124,5.1,389,57,100,254,,
125,5.1,389,55,100,255,,
126,5.1,389,54,98,254,,
127,5.1,390,55,97,253,,
128,5.1,391,50,96,256,,
129,5.1,391,50,96,258,,
130,5.1,393,48,91,258,,
131,5.1,392,42,93,265,,
132,5.1,393,41,89,266,,
133,5.1,392,48,87,255,,
134,5.1,390,49,87,256,,
135,5.1,391,52,85,250,,
136,5.1,391,52,82,249,,
137,5,391,56,81,241,,
138,5.1,390,50,83,249,,
139,5,391,48,83,253,,
140,4.9,391,51,83,250,,
141,4.8,391,52,85,247,,
142,4.9,392,54,86,251,,
143,4.9,392,53,89,255,,
144,4.9,396,54,88,249,,
145,4.7,396,42,98,269,,
146,4.7,398,40,105,273,,
147,0,404,36,101,271,,
148,0,407,51,97,259,,
149,4.7,416,45,94,263,,
150,4.5,425,40,88,267,,
151,4.8,434,39,81,271,,
152,4.7,438,44,78,267,,
153,4.9,442,55,74,256,,
154,4.8,443,54,77,261,,
155,4.8,444,51,86,264,,
156,4.8,451,51,85,266,,
157,4.8,447,57,97,254,,
158,4.8,448,61,102,256,,
159,4.8,447,61,108,256,,
160,4.8,455,59,104,253,,
161,4.9,466,63,95,251,,
162,4.9,474,66,89,247,,
163,4.9,477,60,91,249,,
164,5,480,62,94,246,,
165,5,482,63,95,246,,
166,4.9,485,58,101,256,,
167,4.9,488,59,103,256,,
168,4.9,494,60,100,248,,
169,4.8,499,57,101,247,,
170,4.8,500,58,103,251,,
171,4.8,501,60,104,251,,
172,4.7,500,58,105,255,,
173,4.7,499,58,104,253,,
174,4.8,499,66,101,245,,
175,4.7,499,70,97,247,,
176,0,497,57,98,259,,
177,4.8,492,67,97,253,,
178,4.5,487,65,97,254,,
179,0,482,52,98,271,,
180,0,479,47,97,274,,
181,0,479,56,87,265,,
182,0,481,59,77,257,,
183,0,477,58,74,256,,
184,0,473,55,74,253,,
185,0,467,57,72,253,,
186,0,460,53,77,262,,
187,0,450,56,86,257,,
188,0,443,62,86,251,,
189,0,437,58,88,249,,
190,0,433,57,88,252,,
191,0,424,53,94,260,,
192,0,423,59,87,249,,
193,0,418,52,86,260,,
194,0,414,53,81,255,,
195,0,411,47,74,257,,
196,0,405,51,75,252,,
197,0,396,38,80,260,,
198,0,392,62,73,234,,
199,4.8,380,56,82,244,,
200,4.7,372,55,82,247,,
201,0,368,49,80,251,,
202,0,366,54,79,246,,
203,0,363,66,75,232,,
204,0,363,64,66,222,,
205,0,349,51,76,236,,
206,0,338,39,84,254,,
207,0,332,55,83,243,,
208,0,327,45,87,255,,
209,0,322,53,86,236,,
210,0,316,44,88,244,,
211,4.8,302,44,96,245,,
212,4,295,38,98,248,,
213,5,287,40,103,259,,
214,5,281,40,102,259,,
215,5.1,277,48,95,247,,
216,5.1,272,49,92,247,,
217,5,271,49,76,236,,
218,0,267,43,70,235,,
219,5.1,259,38,80,252,,
220,5.1,251,26,78,262,,
221,5.1,247,34,75,245,,
222,5.1,239,30,82,248,,
223,5.2,237,28,79,253,,
224,5.3,224,22,91,263,,
225,5.3,210,31,96,251,,
226,5.3,201,25,103,260,,
227,5.3,194,24,106,260,,
228,5.3,192,25,105,257,,
229,5.4,188,26,102,256,,
230,5.3,185,26,100,254,,
231,5.3,183,29,98,245,,
232,5.3,182,30,94,245,,
233,5.3,181,27,92,253,,
234,5.3,181,25,90,255,,
235,5.3,181,23,90,260,,
236,5.2,182,23,89,258,,
237,5.2,185,23,89,260,,
238,5.1,187,26,90,255,,
239,5.1,189,25,92,255,,
240,5.1,191,25,91,257,,
241,5.1,193,28,91,259,,
242,5,196,29,87,259,,
243,4.8,196,1,94,294,,
244,4.8,203,21,86,263,,
245,4.8,208,27,80,257,,
246,4.9,210,29,81,256,,
247,4.8,214,24,83,265,,
248,0,216,29,79,255,,
249,4.8,219,23,87,266,,
250,0,222,25,86,262,,
251,0,227,29,87,257,,
252,0,230,31,87,253,,
253,0,240,35,80,254,,
254,0,243,36,77,253,,
255,0,246,33,80,259,,
256,0,253,37,76,246,,
257,0,254,33,83,256,,
258,0,257,32,88,260,,
259,0,259,27,100,275,,
260,0,261,35,99,260,,
261,0,265,31,106,271,,
262,0,268,35,104,264,,
263,0,269,34,107,266,,
264,0,273,37,107,265,,
265,0,282,39,108,269,,
266,0,290,31,109,272,,
267,0,305,33,99,269,,
268,0,324,36,82,255,,
269,0,334,50,78,230,,
270,0,329,36,82,254,,
271,0,337,43,82,257,,
272,0,347,51,74,241,,
273,0,351,46,75,251,,
274,0,354,56,78,244,,
275,4.7,356,62,82,239,,
276,4.7,363,57,80,242,,
277,4.8,367,55,83,247,,
278,4.8,370,49,88,252,,
279,4.9,382,55,78,244,,
280,4.9,387,56,76,253,,
281,5.1,392,57,78,250,,
282,5.1,393,54,82,252,,
283,5.1,394,49,84,261,,
284,5.1,396,42,88,269,,
285,5.1,398,43,89,268,,
286,5.1,401,47,90,268,,
287,5.1,404,49,91,265,,
288,5.1,408,56,91,252,,
289,5.1,409,55,95,250,,
290,5.1,411,55,95,250,,
291,5.1,413,57,95,251,,
292,5.1,417,60,92,250,,
293,5.1,419,60,91,242,,
294,5.1,417,58,96,248,,
295,5.1,418,63,94,241,,
296,5.1,419,55,95,251,,
297,5,418,58,96,247,,
298,5,418,56,91,247,,
299,4.9,416,52,91,251,,
300,5,417,53,86,252,,
301,4.9,415,59,84,250,,
302,4.7,414,53,82,260,,
303,4.9,410,54,80,263,,
304,0,409,55,78,257,,
305,0,408,57,75,253,,
306,0,408,66,69,248,,
307,0,405,61,69,236,,
308,0,398,47,76,258,,
309,0,390,56,75,242,,
310,0,388,61,75,241,,
311,0,378,53,86,248,,
312,0,375,53,84,251,,
313,0,368,49,84,255,,
314,0.5,363,55,87,254,,
315,0,360,61,81,242,,
316,0,358,59,79,247,,
317,0,356,64,75,241,,
318,0,344,58,82,249,,
319,0,340,56,79,247,,
320,0,333,35,84,270,,
321,0,329,52,81,246,,
322,0,321,44,85,258,,
323,0,313,46,91,251,,
324,5,299,41,103,263,,
325,5,294,39,105,265,,
326,5.1,288,44,103,265,,
327,5.1,284,40,103,267,,
328,5.1,280,46,97,253,,
329,5.1,279,45,89,249,,
330,5.2,270,51,85,245,,
331,5.2,268,56,81,222,,
332,5.2,264,48,83,235,,
333,5.2,254,50,85,229,,
334,5.1,250,53,87,223,,
335,5.1,242,49,94,225,,
336,5.1,242,43,91,231,,
337,5.1,238,40,91,242,,
338,5.1,232,39,96,244,,
339,5.1,227,40,97,240,,
340,5.2,226,39,92,248,,
341,5.2,223,43,90,235,,
342,5.2,219,37,91,245,,
343,5.2,211,38,97,245,,
344,5.1,204,32,100,250,,
345,5.1,202,32,99,245,,
346,5.1,197,35,101,247,,
347,5.2,190,30,105,256,,
348,5.1,187,30,103,257,,
349,5.1,182,27,106,257,,
350,5.1,178,29,102,262,,
351,5.1,177,31,101,261,,
352,5.1,176,31,96,261,,
353,5,175,29,97,264,,
354,4.8,176,26,97,265,,
355,4.9,177,25,98,267,,
356,4.9,179,26,97,266,,
357,0,182,26,93,262,,
358,0,184,28,92,259,,
359,0,184,23,96,268,,
360,0,183,17,104,276,,
361,0,195,29,97,261,,
362,0,197,34,96,253,,
363,0,203,31,96,256,,
364,0,214,20,91,268,,
365,0,225,24,82,264,,
366,0,231,38,74,246,,
367,0,237,44,72,246,,
368,0,239,30,80,267,,
369,0,242,27,82,267,,
370,0,244,40,80,253,,
371,0,251,33,82,264,,
372,0,254,56,78,235,,
373,0,269,51,70,236,,
374,0,272,44,70,241,,
375,0,277,41,76,250,,
376,0,283,42,81,249,,
377,0,286,39,86,256,,
378,0,291,39,85,250,,
379,0,292,36,89,263,,
380,0,294,38,92,261,,
381,0,292,31,108,274,,
382,0,298,33,103,273,,
383,0,302,36,101,264,,
384,0,301,34,114,280,,
385,0,310,35,110,274,,
386,0,328,41,97,259,,
387,0,347,56,77,242,,
388,0,349,40,78,264,,
389,0,364,59,69,233,,
390,4.8,369,60,69,234,,
391,4.9,370,58,77,228,,
392,5.1,374,56,76,243,,
393,5.1,372,51,86,257,,
394,5.1,373,39,88,260,,
395,5,382,44,89,267,,
396,5.1,386,52,81,249,,
397,5,393,48,80,250,,
398,5.1,398,56,84,245,,
399,5,401,56,83,240,,
400,5,403,59,86,246,,
401,4.9,403,54,92,250,,
402,4.9,407,62,92,236,,
403,4.9,409,61,95,237,,
404,4.9,412,64,94,236,,
405,4.9,414,62,96,238,,
406,4.9,417,61,99,248,,
407,4.8,421,58,96,248,,
408,4.9,425,62,88,247,,
409,4.8,426,56,87,258,,
410,4.8,424,55,89,256,,
411,4.8,427,52,85,267,,
412,4.7,426,41,86,282,,
413,4.7,428,42,81,284,,
414,4.8,428,48,78,276,,
415,4.9,426,63,73,255,,
416,4.9,420,63,76,254,,
417,4.9,412,61,84,267,,
418,5,412,74,79,242,,
419,4.9,415,77,75,236,,
420,4.9,416,73,75,248,,
421,4.8,411,57,80,269,,
422,4.8,414,55,74,272,,
423,4.8,407,59,74,267,,
424,4.8,404,49,78,274,,
425,4.9,398,59,81,253,,
426,4.9,397,59,80,254,,
427,4.9,395,58,83,256,,
428,4.9,390,56,87,252,,
429,4.9,386,56,93,247,,
430,4.9,383,61,94,245,,
431,5,380,65,94,241,,
432,5.1,378,68,96,242,,
433,5.1,376,71,95,237,,
434,5.1,372,72,97,240,,
435,5.1,370,75,96,235,,
436,5.1,369,79,95,236,,
437,5.1,368,82,94,229,,
438,5.1,366,81,92,229,,
439,5.1,366,74,93,238,,
440,5.1,364,69,94,239,,
441,5.1,365,65,95,245,,
442,5.1,367,62,91,241,,
443,5.1,366,49,91,250,,
444,5.1,366,45,91,250,,
445,5.1,367,45,89,251,,
446,5.1,366,43,90,255,,
447,5,362,49,93,247,,
448,5,360,46,96,256,,
449,5,361,50,97,248,,
450,5,362,47,96,250,,
451,4.9,362,57,97,238,,
452,5,362,59,98,240,,
453,5,363,64,98,232,,
454,5,365,70,100,232,,
455,5.1,369,81,98,229,,
456,5.1,372,84,96,222,,
457,5.1,373,90,96,218,,
458,5.1,374,93,97,219,,
459,5.1,376,101,95,220,,
460,5.1,379,100,95,224,,
461,5.1,381,99,95,222,,
462,5.1,385,101,90,220,,
463,5.1,388,97,87,229,,
464,5.1,388,97,89,235,,
465,5.1,390,87,84,236,,
466,5.1,386,74,93,241,,
467,5.1,388,74,92,248,,
468,5.1,385,66,94,252,,
469,5.1,381,57,96,261,,
470,5.1,385,56,94,258,,
471,5.1,389,53,91,255,,
472,5,390,55,89,255,,
473,5,391,54,89,254,,
474,4.9,391,49,91,258,,
475,4.9,395,53,88,252,,
476,4.8,397,52,89,255,,
477,4.8,398,50,87,255,,
478,4.8,398,50,85,255,,
479,4.8,398,53,86,253,,
480,4.8,396,56,86,252,,
481,4.8,395,55,88,255,,
482,4.8,395,47,98,274,,
483,5.1,404,87,87,227,,
483,4.7,390,12,99,305,,
484,5.1,404,98,84,219,,
484,4.8,393,29,99,284,,
485,5.1,403,87,93,240,,
486,5.1,406,111,92,207,,
487,5.1,408,119,88,200,,
488,5.1,408,119,91,196,,
489,5.1,409,121,93,197,,
490,5.1,409,119,94,197,,
491,5.1,411,116,93,207,,
492,5.2,414,116,84,202,,
493,5.2,412,111,93,211,,
494,5.1,409,87,95,239,,
495,5.1,409,74,94,241,,
496,5.1,409,67,94,251,,
497,5,403,37,105,289,,
498,5.1,404,45,98,278,,
499,5.1,400,27,98,291,,
500,5,402,24,98,294,,
501,5.1,403,31,96,285,,
502,5.1,403,40,96,270,,
503,5.1,405,45,93,264,,
504,5.1,404,35,97,276,,
505,5.1,406,44,94,265,,
506,5.1,406,41,95,270,,
507,5.1,406,43,95,266,,
508,5.1,406,49,95,258,,
509,5.1,403,49,97,258,,
510,5.1,404,52,94,253,,
511,5.1,404,52,95,252,,
512,5.1,402,48,94,260,,
513,5.1,401,46,92,261,,
514,5.1,399,44,93,263,,
515,5.1,396,44,94,266,,
516,5.1,396,44,91,267,,
517,5.1,393,52,88,253,,
518,5.1,391,46,89,260,,
519,5.1,389,50,88,253,,
520,5,388,46,89,252,,
521,5,386,45,91,252,,
522,5,385,45,90,256,,
523,5.1,386,46,89,255,,
524,5,385,45,90,257,,
525,5.1,388,50,86,248,,
526,5.1,390,54,82,242,,
527,5.1,393,56,79,240,,
528,5.1,392,51,80,245,,
529,5.1,392,51,82,245,,
530,5.1,393,48,81,242,,
531,5.2,393,45,82,249,,
532,5.1,393,43,84,252,,
533,5.2,393,44,85,249,,
534,5.2,392,44,86,245,,
535,5.2,392,44,86,253,,
536,5.1,394,45,84,250,,
537,5,394,47,87,247,,
538,4.7,392,54,87,237,,
539,0,390,48,92,246,,
540,0,392,52,90,244,,
541,0,392,56,90,239,,
542,0,394,52,92,246,,
543,0,397,50,95,247,,
544,0,399,46,97,254,,
545,0,402,45,100,257,,
546,0,408,47,101,257,,
547,0,409,39,105,275,,
548,0,414,42,101,270,,
549,0,413,38,113,282,,
550,0,425,38,102,274,,
551,0,431,46,104,268,,
552,0,442,41,98,275,,
553,0,454,39,91,272,,
554,0,465,50,83,260,,
555,0,469,48,81,267,,
556,0,475,59,84,260,,
557,0,478,63,91,256,,
558,0,479,70,94,243,,
559,0,483,73,94,246,,
560,0,485,76,99,242,,
561,0,494,77,91,236,,
562,0,507,83,84,232,,
563,0,514,64,89,256,,
564,0,525,73,83,241,,
565,0,540,81,70,227,,
566,0,548,79,78,237,,
567,0,556,81,76,240,,
568,0,560,81,77,245,,
569,0,563,84,75,239,,
570,0,566,87,72,245,,
571,0,572,81,66,257,,
572,0,577,96,61,242,,
650,4,550,75,88,274,,
651,0,548,70,88,256,,
652,0,542,68,90,253,,
653,0,537,67,87,250,,
654,0,529,61,88,262,,
655,0,530,73,79,238,,
656,0,525,74,77,244,,
657,0,517,64,82,252,,
658,0,509,70,82,249,,
659,0,508,66,77,248,,
660,0,483,71,97,246,,
661,0,472,55,103,271,,
662,0,465,55,106,264,,
663,0,465,62,98,262,,
664,0,464,67,93,254,,
665,0,453,56,99,269,,
666,0,453,61,81,252,,
667,0,448,63,79,258,,
668,0,437,60,77,247,,
669,0,425,40,82,272,,
670,0,415,53,84,255,,
671,0,411,56,79,258,,
672,0,394,59,90,236,,
673,0,381,51,101,256,,
674,0,373,60,102,242,,
675,0,368,70,98,236,,
676,0,361,64,93,241,,
677,0,362,65,86,235,,
678,0,360,62,77,234,,
679,0,356,62,72,232,,
680,0,344,34,82,265,,
681,0,332,49,84,248,,
682,0,316,39,93,258,,
683,0,317,40,90,250,,
684,0,300,42,100,255,,
685,0,294,42,100,256,,
686,0,289,47,97,252,,
687,0,280,35,94,260,,
688,0,278,55,76,232,,
689,0,271,56,62,218,,
690,0,258,56,69,226,,
691,0,252,52,68,213,,
692,0,239,40,77,241,,
693,0,227,28,83,248,,
694,0,216,32,89,246,,
695,0,200,26,107,257,,
696,0,199,31,103,251,,
697,0,188,32,103,255,,
698,0,180,38,100,247,,
699,0,176,37,89,242,,
700,0,176,41,82,236,,
701,0,169,35,78,233,,
702,0,165,33,74,239,,
703,0,158,41,71,233,,
704,4.1,145,40,73,236,,
705,0,136,33,83,242,,
706,0,125,29,90,248,,
707,0,113,28,95,250,,
708,0,112,28,89,255,,
709,0,110,33,82,239,,
710,0,104,44,78,223,,
711,5.1,99,37,74,231,,
712,5.3,92,33,74,234,,
713,5.3,88,28,75,235,,
714,5.4,77,23,83,247,,
715,5.4,69,23,88,250,,
716,5.4,58,23,96,250,,
717,5.4,57,23,93,251,,
718,5.5,55,29,90,241,,
719,5.5,50,26,89,252,,
720,5.5,48,22,88,252,,
721,5.5,46,24,81,247,,
722,5.6,47,20,80,246,,
723,5.5,48,20,74,244,,
724,5.5,49,26,72,239,,
725,5.5,46,23,75,239,,
726,5.5,47,15,77,249,,
727,5.6,54,26,74,232,,
728,5.4,50,13,82,252,,
729,5.4,55,21,83,242,,
730,5.4,52,24,89,237,,
731,5.4,56,24,88,240,,
732,5.4,61,24,84,237,,
733,5.4,61,20,91,241,,
734,5.3,61,21,91,243,,
735,5.3,63,22,91,242,,
736,5.3,66,21,91,237,,
737,5.1,69,24,89,239,,
738,0,71,22,90,236,,
739,5.1,75,21,91,246,,
740,5.3,80,23,90,240,,
741,5.2,83,21,91,248,,
742,5.3,87,21,93,248,,
743,5.1,88,19,99,250,,
744,5.1,92,20,98,247,,
745,5.1,95,19,99,248,,
746,5.1,101,19,98,251,,
747,5.1,107,20,92,254,,
748,5,113,20,87,256,,
749,5.1,119,21,82,249,,
750,5,121,20,84,248,,
751,5,125,20,86,250,,
752,5,128,23,87,251,,
753,4.9,129,24,91,255,,
754,5,133,15,96,267,,
755,4.8,141,20,91,251,,
756,4.9,150,26,81,244,,
757,5.1,155,22,85,252,,
758,5.1,157,20,87,257,,
759,5.1,162,20,84,257,,
760,5.1,165,19,85,258,,
761,5.1,165,15,89,267,,
762,5.2,168,16,91,269,,
763,5.2,170,15,98,270,,
764,5.3,176,24,95,260,,
765,5.3,179,25,93,255,,
766,5.3,181,22,98,258,,
767,5.3,186,20,102,265,,
768,5.3,190,22,103,265,,
769,5.3,193,24,100,255,,
770,5.3,196,25,99,256,,
771,5.3,198,24,97,257,,
772,5.3,201,25,96,258,,
773,5.3,205,24,95,257,,
774,5.3,208,26,91,253,,
775,5.3,210,29,87,247,,
776,5.3,212,29,86,244,,
777,5.3,212,29,86,242,,
778,5.3,212,28,87,252,,
779,5.3,212,27,86,253,,
780,5.3,212,29,84,248,,
781,5.3,211,31,86,249,,
782,5.3,209,28,87,254,,
783,5.3,209,26,87,254,,
784,5.3,208,27,86,247,,
785,5.3,205,25,92,251,,
786,5.3,205,26,91,251,,
787,5.3,205,23,92,254,,
788,5.3,204,23,93,256,,
789,5.3,204,24,93,259,,
790,5.3,204,23,94,261,,
791,5.3,207,23,93,264,,
792,5.3,209,22,93,267,,
793,5.3,210,22,94,267,,
794,5.3,213,23,92,265,,
795,5.3,215,27,91,257,,
796,5.3,216,27,92,253,,
797,5.3,217,28,92,250,,
798,5.3,217,27,93,249,,
799,5.3,218,27,93,251,,
800,5.3,218,26,95,253,,
801,5.3,218,27,94,254,,
802,5.3,217,28,96,250,,
803,5.4,217,26,97,256,,
804,5.3,219,24,95,258,,
805,5.3,218,25,96,254,,
806,5.3,219,24,96,257,,
807,5.3,218,24,95,255,,
808,5.3,219,27,94,250,,
809,5.3,217,26,94,251,,
810,5.3,217,25,95,251,,
811,5.4,217,24,95,255,,
812,5.3,216,24,96,257,,
813,5.3,217,27,93,248,,
814,5.3,216,22,95,262,,
815,5.3,216,23,96,259,,
816,5.3,217,24,94,256,,
817,5.3,216,23,95,258,,
818,5.3,216,24,93,255,,
819,5.3,216,23,95,260,,
820,5.3,217,24,93,258,,
821,5.3,217,25,94,257,,
822,5.3,216,24,93,258,,
823,5.3,216,25,95,256,,
824,5.3,217,27,92,255,,
825,5.3,216,25,94,257,,
826,5.3,217,27,92,256,,
827,5.3,216,26,92,256,,
828,5.3,216,26,93,255,,
829,5.3,216,25,94,257,,
